Item No.,Product Category,Product Type,Item type,Product name,Unique product code,Material,Colour,Size [cm],Covering,Notes,Quantity
1,Furniture,Bed,Bed,SHELLON; Bed 210,DEBESH43505399000,ANATOMICAL METAL SLATTED BASE,,180X200 ,TITAN 07 paglia,,
1,Furniture,Bed,Matress,,DEMASH43511599000,,,180X200 SPRUNG MATTRESS,,,
1,Furniture,Bed,Pillows,FIBERFILL PILLOWS,DEPIFI43518099000,,,,,,
2,Furniture,Sofa,Sofa,BOÈ,DESOBO002071B4000,,,265X145,BALTIMORA 210 natur,,
3,Furniture,Sofa,Sofa,GLOW IN,DESOGL00638560000,,LHASA 02 corda,250X130,,,
4,Furniture,Sofa,Sofa,GLOW IN,DESOGL0063856000O,,VENERE 13 sabbia,250X130,,,
4,Furniture,Sofa,Sofa,GLOW IN Armrest Cushion,DECUGL00721060000,,LHASA 02 corda,75,,,
4,Furniture,Sofa,Sofa,GLOW IN Back Cushion,DECUGL00731560000,,LHASA 02 corda,75,,,
5,Furniture,Sofa,Sofa,KUBIC Elements,DESOKU003040B6000,Feather,,123X99,TITAN 10 avio,tone-on-tone coloured trim,
5,Furniture,Sofa,Sofa,KUBIC Bed Element,DESOKU003560B6000,Feather,,164X99,TITAN 10 avio,,
5,Furniture,Sofa,Sofa,KUBIC HIGH ARMREST,DESOKU007059B6000,,,99 lh,TITAN 10 avio,,
5,Furniture,Sofa,Sofa,KUBIC LOW ARMREST FOR BED,DESOKU007150B6000,,,99 rh,TITAN 10 avio,,
5,Furniture,Sofa,Sofa,KUBIC BACK CUSHION,DECUKU007320B6000,,,70,TITAN 10 avio,tone-on-tone coloured trim,
5,Furniture,Sofa,Sofa,KUBIC BACK CUSHION,DECUKU007330B6000,,,85,TITAN 10 avio,tone-on-tone coloured trim,
6,Furniture,Sofa,Sofa,LUDWIG Element,DESOLU00306037000,Leather ,VINTAGE 20 nero,173X99,,,
6,Furniture,Sofa,Sofa,LUDWIG BACK,DESOLU007190B7000,Leather ,VINTAGE 20 nero,,,,
7,Furniture,Sofa,Sofa,MONOPOLI,DESOMO00309050000,,LHASA 02 corda ,250X125,feather - with removable zip,,
7,Furniture,Sofa,Sofa,MONOPOLI,DESOMO00309050000,,VENERE 13 sabbia,250X125,feather - with removable zip,,
7,Furniture,Sofa,Sofa,MONOPOLI,DESOMO00304050000,,LHASA 02 corda,125X125,feather - with removable zip,,
7,Furniture,Sofa,Sofa,MONOPOLI,DESOMO00304050000,,VENERE 13 sabbia,125X125,feather - with removable zip,,
7,Furniture,Sofa,Sofa,MONOPOLI Backs,DESOMO00719050000,,LHASA 02 corda,100,,,
7,Furniture,Sofa,,MONOPOLI Cushions,DESOMO00731550000,,LHASA 02 corda,75,,,
8,Furniture,Seating,Armchair,KARA,DEARKA00101529000,,Walnut + Bronze,,Leather CIELO 02 avorio,,
9,Furniture,Seating,Armchair,LACOON,DEARLA00101044000,,VENERE 04 beige,,,swivel base,
10,Furniture,Seating,Armchair,RITO,DEARRI001010C1000,Leather,VINTAGE 25 seppia,,,,
11,Furniture,Seating,Armchair,KOSTER,DEARKO00101094000,,,,LAPAZ 12 natur,swivel base,2
12,Furniture,Seating,Pouf,KARA,DEPOKA00107456000,,Walnut + Bronze,,Leather CIELO 02 avorio,,
13,Furniture,Tables,Coffee Table,LACOON,DECTLA00763544000,lacquered in matt,Ivory,,,,
14,Furniture,Tables,Coffee Table,LUDWIG,DECTLU007624B7000,,Black,48X99,,,
15,Furniture,Tables,Coffee Table,NEMU,DECTNE007624B5000,thermoformed ice top,,Ø 60,,,
16,Furniture,Tables,Coffee Table,,DECTNE007626B5000,thermoformed bronze top,,Ø 80,,,
17,Furniture,Tables,Coffee Table,,DECTNE007621B5000,thermoformed bronze top,,Ø 40,,,
18,Furniture,Tables,Coffee Table,SABI,DECTSA007621A2000,Carrara marble top,Whie,Ø 45,,,
19,Furniture,Tables,Coffee Table,,DECTSA007624A2000,Emperador marble top,Dark brown,Ø 60,,,
20,Furniture,Tables,Coffee Table,,DECTSA007626A2000,black Marquina marble top,Black,Ø 120,,,
21,Furniture,Tables,Coffee Table,STUM,DECTST007624B2000,Emperador marble top,Dark brown,Ø 60,,,
22,Furniture,Tables,Coffee Table,,DECTST007626B2000,Emperador marble top,Dark brown,Ø 40,,,
23,Furniture,Tables,Coffee Table,SWIVEL,DECTSW007635B4000,Emperador marble top,,,,,
24,Furniture,Tables,Coffee Table,YORI,DECTYO00762296000,METAL,Gloss Gold,,,,
25,Decoration,Accessories,Rugs,BAOBAB,DERUBA43533399063,,White,300X400,,,
26,Decoration,Accessories,Rugs,SYON,DERUSY43536899000,,White,300X400,,,
27,Decoration,Accessories,Rugs,TASMAN,DERUTA43536199004,,,300X400,,,
28,Decoration,Accessories,Cushions,ARREDA,DECUAR00723699000,,LAPAZ 12 natur,54X44,,,
29,Decoration,Accessories,Cushions,ARREDA,DECUAR00722699000,Leather ,VINTAGE 25 seppia,48X38,,,
30,Decoration,Accessories,Cushions,ARREDA,DECUAR00722099000,,VENERE 41 zafferano,40X40,,,2
31,Decoration,Accessories,Cushions,ARREDA,DECUAR00722099000,,VENERE 04 beige,40X40,,,
32,Decoration,Accessories,Cushions,ARREDA,DECUAR00723699000,,VENERE 04 beige,54X44,,,
33,Storage and Organization,Book Shelf,Book Shelf,IMAGE,DEBOIM**,"brill bronze structure, coffee stained ash shelves",,W 365 H 78.2 D 38.8,,Composition,













